,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
0,Regular season,1.0,Fri,8/6/2021,21:00 (22:00),Monaco,1.7,1–1,0.3,Nantes,"7,500",Stade Louis II.,Antony Gautier,Match Report,,1,1,0
1,Regular season,1.0,Sat,8/7/2021,17:00 (18:00),Lyon,1.8,1–1,1.0,Brest,"29,018",Groupama Stadium,Mikael Lesage,Match Report,,1,1,0
2,Regular season,1.0,Sat,8/7/2021,21:00 (22:00),Troyes,0.8,1–2,1.4,Paris S-G,"15,248",Stade de l'Aube,Amaury Delerue,Match Report,,1,2,2
3,Regular season,1.0,Sun,8/8/2021,13:00 (14:00),Rennes,1.0,1–1,1.9,Lens,"22,567",Roazhon Park,Bastien Dechepy,Match Report,,1,1,0
4,Regular season,1.0,Sun,8/8/2021,15:00 (16:00),Bordeaux,1.0,0–2,3.5,Clermont Foot,"18,748",Stade Matmut-Atlantique,Florent Batta,Match Report,,0,2,2
5,Regular season,1.0,Sun,8/8/2021,15:00 (16:00),Strasbourg,0.7,0–2,1.0,Angers,"23,250",Stade de la Meinau,Jeremy Stinat,Match Report,,0,2,2
6,Regular season,1.0,Sun,8/8/2021,15:00 (16:00),Nice,1.1,0–0,0.2,Reims,"18,030",Stade de Nice,Johan Hamel,Match Report,,0,0,0
7,Regular season,1.0,Sun,8/8/2021,15:00 (16:00),Saint-Étienne,2.0,1–1,0.8,Lorient,"20,461",Stade Geoffroy-Guichard,Thomas Léonard,Match Report,,1,1,0
8,Regular season,1.0,Sun,8/8/2021,17:00 (18:00),Metz,1.2,3–3,1.4,Lille,"15,551",Stade Saint-Symphorien,Eric Wattellier,Match Report,,3,3,0
9,Regular season,1.0,Sun,8/8/2021,20:45 (21:45),Montpellier,0.6,2–3,2.4,Marseille,"13,500",Stade de la Mosson,Jérémie Pignard,Match Report,,2,3,2
11,Regular season,2.0,Fri,8/13/2021,21:00 (22:00),Lorient,0.8,1–0,1.3,Monaco,"12,149",Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,,1,0,1
12,Regular season,2.0,Sat,8/14/2021,17:00 (18:00),Lille,1.2,0–4,2.0,Nice,"30,144",Stade Pierre-Mauroy,Jérôme Brisard,Match Report,,0,4,2
13,Regular season,2.0,Sat,8/14/2021,21:00 (22:00),Paris S-G,3.2,4–2,0.7,Strasbourg,"46,962",Parc des Princes,Willy Delajod,Match Report,,4,2,1
14,Regular season,2.0,Sun,8/15/2021,13:00 (14:00),Angers,2.1,3–0,0.9,Lyon,"6,154",Stade Raymond Kopa,Clément Turpin,Match Report,,3,0,1
15,Regular season,2.0,Sun,8/15/2021,15:00 (16:00),Clermont Foot,2.3,2–0,0.6,Troyes,"11,005",Stade Gabriel Montpied,Romain Lissorgue,Match Report,,2,0,1
16,Regular season,2.0,Sun,8/15/2021,15:00 (16:00),Brest,2.0,1–1,1.2,Rennes,"14,271",Stade Francis-Le Blé,Benoît Bastien,Match Report,,1,1,0
17,Regular season,2.0,Sun,8/15/2021,15:00 (16:00),Nantes,1.6,2–0,0.8,Metz,"12,054",Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,,2,0,1
18,Regular season,2.0,Sun,8/15/2021,15:00 (16:00),Reims,2.0,3–3,1.9,Montpellier,"8,887",Stade Auguste-Delaune II,Jeremy Stinat,Match Report,,3,3,0
19,Regular season,2.0,Sun,8/15/2021,17:00 (18:00),Lens,1.9,2–2,1.1,Saint-Étienne,"35,541",Stade Bollaert-Delelis,Amaury Delerue,Match Report,,2,2,0
20,Regular season,2.0,Sun,8/15/2021,20:45 (21:45),Marseille,1.4,2–2,0.4,Bordeaux,"50,000",Orange Vélodrome,Ruddy Buquet,Match Report,,2,2,0
22,Regular season,3.0,Fri,8/20/2021,21:00 (22:00),Brest,1.4,2–4,1.1,Paris S-G,"14,586",Stade Francis-Le Blé,Eric Wattellier,Match Report,,2,4,2
23,Regular season,3.0,Sat,8/21/2021,17:00 (18:00),Monaco,0.5,0–2,0.7,Lens,"6,483",Stade Louis II.,Jérémie Pignard,Match Report,,0,2,2
24,Regular season,3.0,Sat,8/21/2021,21:00 (22:00),Saint-Étienne,0.6,1–1,1.0,Lille,"20,673",Stade Geoffroy-Guichard,Mikael Lesage,Match Report,,1,1,0
25,Regular season,3.0,Sun,8/22/2021,13:00 (14:00),Lyon,4.0,3–3,1.5,Clermont Foot,"34,713",Groupama Stadium,Thomas Léonard,Match Report,,3,3,0
26,Regular season,3.0,Sun,8/22/2021,15:00 (16:00),Strasbourg,2.6,1–1,1.4,Troyes,"22,185",Stade de la Meinau,Jérôme Brisard,Match Report,,1,1,0
27,Regular season,3.0,Sun,8/22/2021,15:00 (16:00),Metz,0.6,1–1,1.1,Reims,"14,799",Stade Saint-Symphorien,Florent Batta,Match Report,,1,1,0
28,Regular season,3.0,Sun,8/22/2021,15:00 (16:00),Montpellier,3.3,3–1,0.6,Lorient,"6,527",Stade de la Mosson,Bastien Dechepy,Match Report,,3,1,1
29,Regular season,3.0,Sun,8/22/2021,15:00 (16:00),Bordeaux,0.9,1–1,1.0,Angers,"18,281",Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,,1,1,0
30,Regular season,3.0,Sun,8/22/2021,17:00 (18:00),Rennes,1.4,1–0,0.5,Nantes,"27,569",Roazhon Park,Stéphanie Frappart,Match Report,,1,0,1
32,Regular season,4.0,Fri,8/27/2021,21:00 (22:00),Nantes,1.7,0–1,1.4,Lyon,"23,177",Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,,0,1,2
33,Regular season,4.0,Sat,8/28/2021,17:00 (18:00),Nice,2.7,4–0,1.2,Bordeaux,,Stade de Nice,Jérémie Pignard,Match Report,,4,0,1
34,Regular season,4.0,Sat,8/28/2021,21:00 (22:00),Marseille,2.4,3–1,1.3,Saint-Étienne,"55,039",Orange Vélodrome,Benoît Millot,Match Report,,3,1,1
35,Regular season,4.0,Sun,8/29/2021,13:00 (14:00),Troyes,1.0,1–2,1.9,Monaco,"9,866",Stade de l'Aube,Johan Hamel,Match Report,,1,2,2
36,Regular season,4.0,Sun,8/29/2021,15:00 (16:00),Strasbourg,1.5,3–1,1.0,Brest,"22,341",Stade de la Meinau,Romain Lissorgue,Match Report,,3,1,1
37,Regular season,4.0,Sun,8/29/2021,15:00 (16:00),Angers,2.3,2–0,1.4,Rennes,"6,473",Stade Raymond Kopa,Antony Gautier,Match Report,,2,0,1
38,Regular season,4.0,Sun,8/29/2021,15:00 (16:00),Lens,1.9,2–2,2.0,Lorient,"35,029",Stade Bollaert-Delelis,Willy Delajod,Match Report,,2,2,0
39,Regular season,4.0,Sun,8/29/2021,15:00 (16:00),Clermont Foot,1.7,2–2,1.5,Metz,"11,274",Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Match Report,,2,2,0
40,Regular season,4.0,Sun,8/29/2021,17:00 (18:00),Lille,1.7,2–1,0.5,Montpellier,"28,859",Stade Pierre-Mauroy,Amaury Delerue,Match Report,,2,1,1
41,Regular season,4.0,Sun,8/29/2021,20:45 (21:45),Reims,0.8,0–2,1.5,Paris S-G,"20,525",Stade Auguste-Delaune II,François Letexier,Match Report,,0,2,2
43,Regular season,5.0,Fri,9/10/2021,21:00 (22:00),Lorient,2.1,2–1,1.4,Lille,"10,271",Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,,2,1,1
44,Regular season,5.0,Sat,9/11/2021,17:00 (18:00),Paris S-G,2.3,4–0,1.2,Clermont Foot,"47,329",Parc des Princes,Mikael Lesage,Match Report,,4,0,1
45,Regular season,5.0,Sat,9/11/2021,21:00 (22:00),Monaco,1.0,0–2,1.8,Marseille,"8,615",Stade Louis II.,Stéphanie Frappart,Match Report,,0,2,2
46,Regular season,5.0,Sun,9/12/2021,13:00 (14:00),Montpellier,0.9,2–0,1.0,Saint-Étienne,"10,402",Stade de la Mosson,Benoît Bastien,Match Report,,2,0,1
47,Regular season,5.0,Sun,9/12/2021,15:00 (16:00),Rennes,0.8,0–2,0.7,Reims,"24,486",Roazhon Park,Thomas Léonard,Match Report,,0,2,2
48,Regular season,5.0,Sun,9/12/2021,15:00 (16:00),Bordeaux,0.8,2–3,2.5,Lens,"19,763",Stade Matmut-Atlantique,Luís Godinho,Match Report,,2,3,2
49,Regular season,5.0,Sun,9/12/2021,15:00 (16:00),Brest,1.6,1–1,1.2,Angers,"10,982",Stade Francis-Le Blé,Jeremy Stinat,Match Report,,1,1,0
50,Regular season,5.0,Sun,9/12/2021,15:00 (16:00),Metz,0.9,0–2,1.0,Troyes,"15,269",Stade Saint-Symphorien,Pierre Gaillouste,Match Report,,0,2,2
51,Regular season,5.0,Sun,9/12/2021,17:00 (18:00),Nantes,2.0,0–2,1.7,Nice,"14,597",Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,,0,2,2
52,Regular season,5.0,Sun,9/12/2021,20:45 (21:45),Lyon,1.7,3–1,1.8,Strasbourg,"33,267",Groupama Stadium,Ruddy Buquet,Match Report,,3,1,1
54,Regular season,6.0,Fri,9/17/2021,21:00 (22:00),Strasbourg,2.2,3–0,0.9,Metz,"25,437",Stade de la Meinau,Eric Wattellier,Match Report,,3,0,1
55,Regular season,6.0,Sat,9/18/2021,17:00 (18:00),Lens,1.2,1–0,0.8,Lille,"36,512",Stade Bollaert-Delelis,Benoît Millot,Match Report,,1,0,1
56,Regular season,6.0,Sat,9/18/2021,21:00 (22:00),Saint-Étienne,1.6,1–2,2.3,Bordeaux,"23,869",Stade Geoffroy-Guichard,Antony Gautier,Match Report,,1,2,2
57,Regular season,6.0,Sun,9/19/2021,13:00 (14:00),Nice,1.8,2–2,2.4,Monaco,,Stade de Nice,François Letexier,Match Report,,2,2,0
58,Regular season,6.0,Sun,9/19/2021,15:00 (16:00),Troyes,0.9,1–1,0.3,Montpellier,"7,405",Stade de l'Aube,Florent Batta,Match Report,,1,1,0
59,Regular season,6.0,Sun,9/19/2021,15:00 (16:00),Clermont Foot,1.2,1–1,0.5,Brest,"11,224",Stade Gabriel Montpied,Bastien Dechepy,Match Report,,1,1,0
60,Regular season,6.0,Sun,9/19/2021,15:00 (16:00),Reims,1.0,0–0,0.4,Lorient,"9,443",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,,0,0,0
61,Regular season,6.0,Sun,9/19/2021,15:00 (16:00),Angers,0.9,1–4,2.2,Nantes,"9,046",Stade Raymond Kopa,Amaury Delerue,Match Report,,1,4,2
62,Regular season,6.0,Sun,9/19/2021,17:00 (18:00),Marseille,2.2,2–0,1.7,Rennes,"54,188",Orange Vélodrome,Willy Delajod,Match Report,,2,0,1
63,Regular season,6.0,Sun,9/19/2021,20:45 (21:45),Paris S-G,1.9,2–1,0.8,Lyon,"47,611",Parc des Princes,Clément Turpin,Match Report,,2,1,1
65,Regular season,7.0,Wed,9/22/2021,19:00 (20:00),Rennes,2.6,6–0,0.3,Clermont Foot,"24,109",Roazhon Park,Benoît Bastien,Match Report,,6,0,1
66,Regular season,7.0,Wed,9/22/2021,19:00 (20:00),Nantes,1.4,3–1,1.1,Brest,"19,676",Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,,3,1,1
67,Regular season,7.0,Wed,9/22/2021,19:00 (20:00),Lille,1.0,2–1,1.4,Reims,"32,604",Stade Pierre-Mauroy,Johan Hamel,Match Report,,2,1,1
68,Regular season,7.0,Wed,9/22/2021,19:00 (20:00),Montpellier,1.6,3–3,1.3,Bordeaux,"9,585",Stade de la Mosson,Mikael Lesage,Match Report,,3,3,0
69,Regular season,7.0,Wed,9/22/2021,19:00 (20:00),Monaco,1.9,3–1,0.4,Saint-Étienne,"3,579",Stade Louis II.,Jérôme Brisard,Match Report,,3,1,1
70,Regular season,7.0,Wed,9/22/2021,21:00 (22:00),Lyon,1.9,3–1,1.6,Troyes,"29,714",Groupama Stadium,Stéphanie Frappart,Match Report,,3,1,1
71,Regular season,7.0,Wed,9/22/2021,21:00 (22:00),Lens,2.0,0–1,1.2,Strasbourg,,Stade Bollaert-Delelis,Jeremy Stinat,Match Report,,0,1,2
72,Regular season,7.0,Wed,9/22/2021,21:00 (22:00),Lorient,0.4,1–0,2.5,Nice,"10,687",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,,1,0,1
73,Regular season,7.0,Wed,9/22/2021,21:00 (22:00),Angers,0.5,0–0,0.8,Marseille,"12,458",Stade Raymond Kopa,Ruddy Buquet,Match Report,,0,0,0
74,Regular season,7.0,Wed,9/22/2021,21:00 (22:00),Metz,0.9,1–2,1.3,Paris S-G,"2,661",Stade Saint-Symphorien,Jérémie Pignard,Match Report,,1,2,2
76,Regular season,8.0,Sat,9/25/2021,17:00 (18:00),Saint-Étienne,0.7,0–3,2.5,Nice,"19,980",Stade Geoffroy-Guichard,Amaury Delerue,Match Report,,0,3,2
77,Regular season,8.0,Sat,9/25/2021,19:00 (20:00),Strasbourg,0.6,1–2,2.3,Lille,"23,762",Stade de la Meinau,François Letexier,Match Report,,1,2,2
78,Regular season,8.0,Sat,9/25/2021,21:00 (22:00),Paris S-G,2.3,2–0,0.3,Montpellier,"47,408",Parc des Princes,Antony Gautier,Match Report,,2,0,1
79,Regular season,8.0,Sat,9/25/2021,21:00 (22:00),Lyon,1.2,1–1,0.8,Lorient,"36,424",Groupama Stadium,Bastien Dechepy,Match Report,,1,1,0
80,Regular season,8.0,Sun,9/26/2021,13:00 (14:00),Bordeaux,0.8,1–1,2.1,Rennes,"16,675",Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,,1,1,0
81,Regular season,8.0,Sun,9/26/2021,15:00 (16:00),Troyes,1.4,1–1,1.3,Angers,"6,868",Stade de l'Aube,Thomas Léonard,Match Report,,1,1,0
82,Regular season,8.0,Sun,9/26/2021,15:00 (16:00),Brest,1.4,1–2,0.5,Metz,"10,398",Stade Francis-Le Blé,Willy Delajod,Match Report,,1,2,2
83,Regular season,8.0,Sun,9/26/2021,15:00 (16:00),Reims,1.0,3–1,0.8,Nantes,280,Stade Auguste-Delaune II,Eric Wattellier,Match Report,,3,1,1
84,Regular season,8.0,Sun,9/26/2021,17:00 (18:00),Clermont Foot,1.3,1–3,1.8,Monaco,"11,529",Stade Gabriel Montpied,Benoît Millot,Match Report,,1,3,2
85,Regular season,8.0,Sun,9/26/2021,20:45 (21:45),Marseille,1.9,2–3,1.9,Lens,"50,001",Orange Vélodrome,Mikael Lesage,Match Report,,2,3,2
87,Regular season,9.0,Fri,10/1/2021,21:00 (22:00),Lens,2.4,2–0,0.2,Reims,,Stade Bollaert-Delelis,Benoît Bastien,Match Report,,2,0,1
88,Regular season,9.0,Sat,10/2/2021,17:00 (18:00),Montpellier,1.0,1–1,0.4,Strasbourg,"9,851",Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,,1,1,0
89,Regular season,9.0,Sat,10/2/2021,21:00 (22:00),Nice,4.0,2–1,0.6,Brest,"13,503",Stade de Nice,António Nobre,Match Report,,2,1,1
90,Regular season,9.0,Sun,10/3/2021,13:00 (14:00),Rennes,1.0,2–0,1.6,Paris S-G,"28,092",Roazhon Park,Ruddy Buquet,Match Report,,2,0,1
91,Regular season,9.0,Sun,10/3/2021,15:00 (16:00),Lorient,0.7,1–1,1.2,Clermont Foot,"12,611",Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Match Report,,1,1,0
92,Regular season,9.0,Sun,10/3/2021,15:00 (16:00),Monaco,1.8,3–0,0.3,Bordeaux,"3,667",Stade Louis II.,Clément Turpin,Match Report,,3,0,1
93,Regular season,9.0,Sun,10/3/2021,15:00 (16:00),Angers,2.6,3–2,1.2,Metz,"3,989",Stade Raymond Kopa,Stéphanie Frappart,Match Report,,3,2,1
94,Regular season,9.0,Sun,10/3/2021,15:00 (16:00),Nantes,1.7,2–0,1.5,Troyes,"15,150",Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,,2,0,1
95,Regular season,9.0,Sun,10/3/2021,17:00 (18:00),Lille,3.1,2–0,0.6,Marseille,"44,839",Stade Pierre-Mauroy,Jérémie Pignard,Match Report,,2,0,1
96,Regular season,9.0,Sun,10/3/2021,20:45 (21:45),Saint-Étienne,2.6,1–1,1.6,Lyon,"33,643",Stade Geoffroy-Guichard,François Letexier,Match Report,,1,1,0
98,Regular season,10.0,Fri,10/15/2021,21:00 (22:00),Paris S-G,2.1,2–1,1.0,Angers,"47,646",Parc des Princes,Bastien Dechepy,Match Report,,2,1,1
99,Regular season,10.0,Sat,10/16/2021,17:00 (18:00),Clermont Foot,0.3,1–0,1.1,Lille,"11,537",Stade Gabriel Montpied,Eric Wattellier,Match Report,,1,0,1
100,Regular season,10.0,Sat,10/16/2021,21:00 (22:00),Lyon,2.6,2–0,0.9,Monaco,"50,585",Groupama Stadium,Amaury Delerue,Match Report,,2,0,1
101,Regular season,10.0,Sun,10/17/2021,13:00 (14:00),Troyes,0.9,1–0,0.7,Nice,"7,925",Stade de l'Aube,Johan Hamel,Match Report,,1,0,1
102,Regular season,10.0,Sun,10/17/2021,15:00 (16:00),Brest,1.0,1–1,0.9,Reims,"9,693",Stade Francis-Le Blé,Jeremy Stinat,Match Report,,1,1,0
103,Regular season,10.0,Sun,10/17/2021,15:00 (16:00),Bordeaux,0.8,1–1,1.1,Nantes,"39,510",Stade Matmut-Atlantique,Willy Delajod,Match Report,,1,1,0
104,Regular season,10.0,Sun,10/17/2021,15:00 (16:00),Metz,0.9,0–3,2.1,Rennes,"15,679",Stade Saint-Symphorien,Benoît Millot,Match Report,,0,3,2
105,Regular season,10.0,Sun,10/17/2021,15:00 (16:00),Strasbourg,2.2,5–1,1.0,Saint-Étienne,"25,371",Stade de la Meinau,Mikael Lesage,Match Report,,5,1,1
106,Regular season,10.0,Sun,10/17/2021,17:00 (18:00),Montpellier,1.8,1–0,1.3,Lens,"12,474",Stade de la Mosson,Florent Batta,Match Report,,1,0,1
107,Regular season,10.0,Sun,10/17/2021,20:45 (21:45),Marseille,2.3,4–1,2.4,Lorient,"57,349",Orange Vélodrome,Antony Gautier,Match Report,,4,1,1
109,Regular season,11.0,Fri,10/22/2021,21:00 (22:00),Saint-Étienne,1.7,2–2,0.7,Angers,"19,836",Stade Geoffroy-Guichard,Antony Gautier,Match Report,,2,2,0
110,Regular season,11.0,Sat,10/23/2021,17:00 (18:00),Nantes,1.2,2–1,0.8,Clermont Foot,"19,968",Stade de la Beaujoire - Louis Fonteneau,Romain Lissorgue,Match Report,,2,1,1
111,Regular season,11.0,Sat,10/23/2021,21:00 (22:00),Lille,1.7,1–1,1.2,Brest,"32,613",Stade Pierre-Mauroy,Clément Turpin,Match Report,,1,1,0
112,Regular season,11.0,Sun,10/24/2021,13:00 (14:00),Nice,2.7,3–2,1.3,Lyon,"24,519",Stade de Nice,Jérôme Brisard,Match Report,,3,2,1
113,Regular season,11.0,Sun,10/24/2021,15:00 (16:00),Rennes,1.4,1–0,0.8,Strasbourg,"27,185",Roazhon Park,Stéphanie Frappart,Match Report,,1,0,1
114,Regular season,11.0,Sun,10/24/2021,15:00 (16:00),Lens,1.9,4–1,0.8,Metz,"35,673",Stade Bollaert-Delelis,Jérémie Pignard,Match Report,,4,1,1
115,Regular season,11.0,Sun,10/24/2021,15:00 (16:00),Lorient,1.3,1–1,1.3,Bordeaux,"11,678",Stade Yves Allainmat - Le Moustoir,Thomas Léonard,Match Report,,1,1,0
116,Regular season,11.0,Sun,10/24/2021,15:00 (16:00),Reims,1.0,1–2,1.0,Troyes,"12,326",Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,,1,2,2
117,Regular season,11.0,Sun,10/24/2021,17:00 (18:00),Monaco,1.4,3–1,1.5,Montpellier,"4,861",Stade Louis II.,François Letexier,Match Report,,3,1,1
118,Regular season,11.0,Sun,10/24/2021,20:45 (21:45),Marseille,1.4,0–0,1.5,Paris S-G,"65,121",Orange Vélodrome,Benoît Bastien,Match Report,,0,0,0
120,Regular season,3.0,Wed,10/27/2021,21:00 (22:00),Nice,1.9,1–1,0.7,Marseille,,Stade de l'Aube,Clément Turpin,Match Report,,1,1,0
122,Regular season,12.0,Fri,10/29/2021,21:00 (22:00),Paris S-G,2.3,2–1,2.0,Lille,"47,874",Parc des Princes,Amaury Delerue,Match Report,,2,1,1
123,Regular season,12.0,Sat,10/30/2021,17:00 (18:00),Metz,0.5,1–1,0.6,Saint-Étienne,"15,914",Stade Saint-Symphorien,Stéphanie Frappart,Match Report,,1,1,0
124,Regular season,12.0,Sat,10/30/2021,21:00 (22:00),Lyon,2.3,2–1,2.3,Lens,"50,373",Groupama Stadium,Mikael Lesage,Match Report,,2,1,1
125,Regular season,12.0,Sun,10/31/2021,13:00 (15:00),Angers,1.1,1–2,1.1,Nice,"6,788",Stade Raymond Kopa,Willy Delajod,Match Report,,1,2,2
126,Regular season,12.0,Sun,10/31/2021,15:00 (17:00),Bordeaux,1.9,3–2,1.6,Reims,"11,020",Stade Matmut-Atlantique,Eric Wattellier,Match Report,,3,2,1
127,Regular season,12.0,Sun,10/31/2021,15:00 (17:00),Troyes,2.1,2–2,1.9,Rennes,"8,550",Stade de l'Aube,Jeremy Stinat,Match Report,,2,2,0
128,Regular season,12.0,Sun,10/31/2021,15:00 (17:00),Montpellier,1.3,2–0,1.1,Nantes,"11,267",Stade de la Mosson,Bastien Dechepy,Match Report,,2,0,1
129,Regular season,12.0,Sun,10/31/2021,15:00 (17:00),Strasbourg,2.3,4–0,1.5,Lorient,"24,002",Stade de la Meinau,Florent Batta,Match Report,,4,0,1
130,Regular season,12.0,Sun,10/31/2021,17:00 (19:00),Brest,1.4,2–0,0.5,Monaco,"12,463",Stade Francis-Le Blé,Johan Hamel,Match Report,,2,0,1
131,Regular season,12.0,Sun,10/31/2021,20:45 (22:45),Clermont Foot,0.8,0–1,1.3,Marseille,"12,240",Stade Gabriel Montpied,Benoît Millot,Match Report,,0,1,2
133,Regular season,13.0,Fri,11/5/2021,21:00 (23:00),Lens,3.3,4–0,0.6,Troyes,"35,706",Stade Bollaert-Delelis,Thomas Léonard,Match Report,,4,0,1
134,Regular season,13.0,Sat,11/6/2021,17:00 (19:00),Lille,1.4,1–1,1.1,Angers,"33,305",Stade Pierre-Mauroy,François Letexier,Match Report,,1,1,0
135,Regular season,13.0,Sat,11/6/2021,21:00 (23:00),Bordeaux,1.2,2–3,2.0,Paris S-G,"41,172",Stade Matmut-Atlantique,Ruddy Buquet,Match Report,,2,3,2
136,Regular season,13.0,Sun,11/7/2021,13:00 (15:00),Marseille,1.7,0–0,1.5,Metz,"61,539",Orange Vélodrome,Jérôme Brisard,Match Report,,0,0,0
137,Regular season,13.0,Sun,11/7/2021,15:00 (17:00),Saint-Étienne,2.0,3–2,0.9,Clermont Foot,,Stade Geoffroy-Guichard,Pierre Gaillouste,Match Report,,3,2,1
138,Regular season,13.0,Sun,11/7/2021,15:00 (17:00),Lorient,1.6,1–2,2.6,Brest,"14,649",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,,1,2,2
139,Regular season,13.0,Sun,11/7/2021,15:00 (17:00),Reims,0.5,0–0,0.9,Monaco,"12,080",Stade Auguste-Delaune II,Jérémie Pignard,Match Report,,0,0,0
