,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
285,Regular season,26.0,Sun,2/27/2022,15:00 (17:00),Metz,0.5,0–0,0.8,Nantes,"15,851",Stade Saint-Symphorien,Florent Batta,Match Report,,0,0,0
286,Regular season,26.0,Sun,2/27/2022,15:00 (17:00),Clermont Foot,0.7,1–1,1.0,Bordeaux,"12,032",Stade Gabriel Montpied,Eric Wattellier,Match Report,,1,1,0
287,Regular season,26.0,Sun,2/27/2022,15:00 (17:00),Brest,0.2,0–1,2.3,Lorient,"14,050",Stade Francis-Le Blé,Benoît Bastien,Match Report,,0,1,2
288,Regular season,26.0,Sun,2/27/2022,17:05 (19:05),Troyes,1.4,1–1,1.2,Marseille,"16,871",Stade de l'Aube,François Letexier,Match Report,,1,1,0
289,Regular season,26.0,Sun,2/27/2022,20:45 (22:45),Lyon,1.7,0–1,0.8,Lille,"42,647",Groupama Stadium,Clément Turpin,Match Report,,0,1,2
291,Regular season,27.0,Fri,3/4/2022,21:00 (23:00),Lorient,1.7,1–4,2.6,Lyon,"13,497",Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,,1,4,2
292,Regular season,27.0,Sat,3/5/2022,17:00 (19:00),Lens,1.8,0–1,0.5,Brest,"36,305",Stade Bollaert-Delelis,Johan Hamel,Match Report,,0,1,2
293,Regular season,27.0,Sat,3/5/2022,21:00 (23:00),Nice,1.0,1–0,0.8,Paris S-G,"31,949",Stade de Nice,Willy Delajod,Match Report,,1,0,1
294,Regular season,27.0,Sun,3/6/2022,13:00 (15:00),Saint-Étienne,1.4,1–0,0.7,Metz,"35,706",Stade Geoffroy-Guichard,Jeremy Stinat,Match Report,,1,0,1
295,Regular season,27.0,Sun,3/6/2022,15:00 (17:00),Nantes,1.8,2–0,0.2,Montpellier,"21,589",Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,,2,0,1
296,Regular season,27.0,Sun,3/6/2022,15:00 (17:00),Reims,0.8,1–1,0.9,Strasbourg,"10,405",Stade Auguste-Delaune II,Jérémie Pignard,Match Report,,1,1,0
297,Regular season,27.0,Sun,3/6/2022,15:00 (17:00),Rennes,2.1,2–0,0.5,Angers,"27,693",Roazhon Park,Benoît Millot,Match Report,,2,0,1
298,Regular season,27.0,Sun,3/6/2022,15:00 (17:00),Bordeaux,0.7,0–2,2.4,Troyes,"20,287",Stade Matmut-Atlantique,Ruddy Buquet,Match Report,,0,2,2
299,Regular season,27.0,Sun,3/6/2022,17:05 (19:05),Lille,2.1,4–0,0.9,Clermont Foot,"33,515",Stade Pierre-Mauroy,Thomas Léonard,Match Report,,4,0,1
300,Regular season,27.0,Sun,3/6/2022,20:45 (22:45),Marseille,1.1,0–1,0.7,Monaco,"56,510",Orange Vélodrome,Antony Gautier,Match Report,,0,1,2
302,Regular season,28.0,Fri,3/11/2022,21:00 (23:00),Lille,1.1,0–0,0.6,Saint-Étienne,"40,146",Stade Pierre-Mauroy,Florent Batta,Match Report,,0,0,0
303,Regular season,28.0,Sat,3/12/2022,17:00 (19:00),Montpellier,3.2,0–0,0.7,Nice,"11,658",Stade de la Mosson,Clément Turpin,Match Report,,0,0,0
304,Regular season,28.0,Sat,3/12/2022,21:00 (23:00),Troyes,1.9,1–0,0.5,Nantes,"7,400",Stade de l'Aube,Stéphanie Frappart,Match Report,,1,0,1
305,Regular season,28.0,Sun,3/13/2022,13:00 (15:00),Paris S-G,1.1,3–0,0.9,Bordeaux,"44,000",Parc des Princes,François Letexier,Match Report,,3,0,1
306,Regular season,28.0,Sun,3/13/2022,15:00 (17:00),Strasbourg,1.0,1–0,0.8,Monaco,"25,231",Stade de la Meinau,Eric Wattellier,Match Report,,1,0,1
307,Regular season,28.0,Sun,3/13/2022,15:00 (17:00),Clermont Foot,1.1,0–2,1.5,Lorient,"11,359",Stade Gabriel Montpied,Bastien Dechepy,Match Report,,0,2,2
308,Regular season,28.0,Sun,3/13/2022,15:00 (17:00),Metz,0.7,0–0,0.8,Lens,"15,687",Stade Saint-Symphorien,Amaury Delerue,Match Report,,0,0,0
309,Regular season,28.0,Sun,3/13/2022,15:00 (17:00),Angers,2.5,0–1,1.6,Reims,"5,960",Stade Raymond Kopa,Mikael Lesage,Match Report,,0,1,2
310,Regular season,28.0,Sun,3/13/2022,17:05 (19:05),Lyon,1.4,2–4,1.3,Rennes,"46,597",Groupama Stadium,Antony Gautier,Match Report,,2,4,2
311,Regular season,28.0,Sun,3/13/2022,20:45 (22:45),Brest,0.7,1–4,2.0,Marseille,"14,611",Stade Francis-Le Blé,Ruddy Buquet,Match Report,,1,4,2
313,Regular season,29.0,Fri,3/18/2022,21:00 (23:00),Saint-Étienne,1.4,1–1,1.2,Troyes,"32,193",Stade Geoffroy-Guichard,Romain Lissorgue,Match Report,,1,1,0
314,Regular season,29.0,Sat,3/19/2022,17:00 (19:00),Lens,1.8,3–1,1.5,Clermont Foot,"36,182",Stade Bollaert-Delelis,Jeremy Stinat,Match Report,,3,1,1
315,Regular season,29.0,Sat,3/19/2022,21:00 (23:00),Nantes,1.0,0–1,1.3,Lille,"25,977",Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,Match Report,,0,1,2
316,Regular season,29.0,Sun,3/20/2022,13:00 (15:00),Monaco,2.3,3–0,1.0,Paris S-G,"16,642",Stade Louis II.,Benoît Bastien,Match Report,,3,0,1
317,Regular season,29.0,Sun,3/20/2022,15:00 (17:00),Angers,2.1,1–0,1.3,Brest,"7,734",Stade Raymond Kopa,Jérémie Pignard,Match Report,,1,0,1
318,Regular season,29.0,Sun,3/20/2022,15:00 (17:00),Rennes,3.4,6–1,0.7,Metz,"27,966",Roazhon Park,Willy Delajod,Match Report,,6,1,1
319,Regular season,29.0,Sun,3/20/2022,15:00 (17:00),Bordeaux,4.0,0–2,0.7,Montpellier,"15,000",Stade Matmut-Atlantique,Thomas Léonard,Match Report,,0,2,2
320,Regular season,29.0,Sun,3/20/2022,15:00 (17:00),Lorient,0.6,0–0,1.5,Strasbourg,"9,806",Stade Yves Allainmat - Le Moustoir,Benoît Millot,Match Report,,0,0,0
321,Regular season,29.0,Sun,3/20/2022,17:05 (19:05),Reims,0.5,0–0,2.2,Lyon,"14,091",Stade Auguste-Delaune II,Johan Hamel,Match Report,,0,0,0
322,Regular season,29.0,Sun,3/20/2022,20:45 (22:45),Marseille,1.6,2–1,1.3,Nice,"64,722",Orange Vélodrome,Jérôme Brisard,Match Report,,2,1,1
324,Regular season,30.0,Sat,4/2/2022,17:00 (18:00),Nice,1.3,1–1,1.3,Rennes,"24,086",Stade de Nice,Benoît Bastien,Match Report,,1,1,0
325,Regular season,30.0,Sat,4/2/2022,19:00 (20:00),Lille,3.0,0–0,0.1,Bordeaux,"36,351",Stade Pierre-Mauroy,Bastien Dechepy,Match Report,,0,0,0
326,Regular season,30.0,Sun,4/3/2022,13:00 (14:00),Strasbourg,2.8,1–0,1.1,Lens,"26,005",Stade de la Meinau,François Letexier,Match Report,,1,0,1
327,Regular season,30.0,Sun,4/3/2022,15:00 (16:00),Metz,1.1,1–2,2.1,Monaco,"19,812",Stade Saint-Symphorien,Jérôme Brisard,Match Report,,1,2,2
328,Regular season,30.0,Sun,4/3/2022,15:00 (16:00),Saint-Étienne,0.2,2–4,3.9,Marseille,"41,278",Stade Geoffroy-Guichard,Clément Turpin,Match Report,,2,4,2
329,Regular season,30.0,Sun,4/3/2022,15:00 (16:00),Troyes,1.3,1–0,0.8,Reims,"9,482",Stade de l'Aube,Ruddy Buquet,Match Report,,1,0,1
330,Regular season,30.0,Sun,4/3/2022,15:00 (16:00),Montpellier,1.5,1–2,0.9,Brest,"10,929",Stade de la Mosson,Florent Batta,Match Report,,1,2,2
331,Regular season,30.0,Sun,4/3/2022,15:00 (16:00),Clermont Foot,0.9,2–3,1.8,Nantes,"11,785",Stade Gabriel Montpied,Mikael Lesage,Match Report,,2,3,2
332,Regular season,30.0,Sun,4/3/2022,17:05 (18:05),Lyon,1.7,3–2,1.7,Angers,"34,376",Groupama Stadium,Eric Wattellier,Match Report,,3,2,1
333,Regular season,30.0,Sun,4/3/2022,20:45 (21:45),Paris S-G,2.4,5–1,0.7,Lorient,"40,000",Parc des Princes,Hakim Ben El Hadj Salem,Match Report,,5,1,1
335,Regular season,31.0,Fri,4/8/2022,21:00 (22:00),Lorient,4.0,6–2,1.2,Saint-Étienne,"15,407",Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Match Report,,6,2,1
336,Regular season,31.0,Sat,4/9/2022,17:00 (18:00),Reims,2.7,2–3,1.8,Rennes,"10,243",Stade Auguste-Delaune II,Romain Lissorgue,Match Report,,2,3,2
337,Regular season,31.0,Sat,4/9/2022,21:00 (22:00),Clermont Foot,1.4,1–6,4.6,Paris S-G,"12,264",Stade Gabriel Montpied,Eric Wattellier,Match Report,,1,6,2
338,Regular season,31.0,Sun,4/10/2022,13:00 (14:00),Bordeaux,1.9,3–1,1.0,Metz,"21,652",Stade Matmut-Atlantique,Jérémie Pignard,Match Report,,3,1,1
339,Regular season,31.0,Sun,4/10/2022,15:00 (16:00),Monaco,0.7,2–1,0.9,Troyes,"4,786",Stade Louis II.,Mikael Lesage,Match Report,,2,1,1
340,Regular season,31.0,Sun,4/10/2022,15:00 (16:00),Angers,0.8,1–1,1.1,Lille,"9,286",Stade Raymond Kopa,Thomas Léonard,Match Report,,1,1,0
341,Regular season,31.0,Sun,4/10/2022,15:00 (16:00),Brest,1.4,1–1,1.1,Nantes,"13,145",Stade Francis-Le Blé,Johan Hamel,Match Report,,1,1,0
342,Regular season,31.0,Sun,4/10/2022,17:05 (18:05),Lens,0.6,3–0,1.6,Nice,"36,668",Stade Bollaert-Delelis,Willy Delajod,Match Report,,3,0,1
343,Regular season,31.0,Sun,4/10/2022,19:00 (20:00),Strasbourg,1.2,1–1,2.0,Lyon,"26,073",Stade de la Meinau,Clément Turpin,Match Report,,1,1,0
344,Regular season,31.0,Sun,4/10/2022,21:00 (22:00),Marseille,3.1,2–0,0.5,Montpellier,"51,131",Orange Vélodrome,Jeremy Stinat,Match Report,,2,0,1
346,Regular season,32.0,Fri,4/15/2022,21:00 (22:00),Rennes,1.7,2–3,2.8,Monaco,"28,336",Roazhon Park,Stéphanie Frappart,Match Report,,2,3,2
347,Regular season,32.0,Sat,4/16/2022,17:00 (18:00),Saint-Étienne,1.3,2–1,0.6,Brest,"27,227",Stade Geoffroy-Guichard,Eric Wattellier,Match Report,,2,1,1
348,Regular season,32.0,Sat,4/16/2022,21:00 (22:00),Lille,1.1,1–2,1.4,Lens,"48,169",Stade Pierre-Mauroy,Jérôme Brisard,Match Report,,1,2,2
349,Regular season,32.0,Sun,4/17/2022,13:00 (14:00),Nice,1.9,2–1,0.4,Lorient,"17,212",Stade de Nice,Amaury Delerue,Match Report,,2,1,1
350,Regular season,32.0,Sun,4/17/2022,15:00 (16:00),Nantes,3.4,1–1,0.9,Angers,"25,102",Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,Match Report,,1,1,0
351,Regular season,32.0,Sun,4/17/2022,15:00 (16:00),Metz,0.4,1–1,3.4,Clermont Foot,"14,335",Stade Saint-Symphorien,Pierre Gaillouste,Match Report,,1,1,0
352,Regular season,32.0,Sun,4/17/2022,15:00 (16:00),Montpellier,1.4,0–0,1.3,Reims,"10,170",Stade de la Mosson,Antony Gautier,Match Report,,0,0,0
353,Regular season,32.0,Sun,4/17/2022,15:00 (16:00),Troyes,1.5,1–1,1.1,Strasbourg,"10,000",Stade de l'Aube,Benoît Millot,Match Report,,1,1,0
354,Regular season,32.0,Sun,4/17/2022,17:05 (18:05),Lyon,2.4,6–1,1.8,Bordeaux,"38,713",Groupama Stadium,Florent Batta,Match Report,,6,1,1
355,Regular season,32.0,Sun,4/17/2022,20:45 (21:45),Paris S-G,0.8,2–1,0.9,Marseille,"46,000",Parc des Princes,François Letexier,Match Report,,2,1,1
357,Regular season,33.0,Wed,4/20/2022,19:00 (20:00),Reims,1.7,2–1,1.3,Lille,"10,910",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,,2,1,1
358,Regular season,33.0,Wed,4/20/2022,19:00 (20:00),Monaco,2.3,1–0,1.0,Nice,"10,247",Stade Louis II.,Benoît Millot,Match Report,,1,0,1
359,Regular season,33.0,Wed,4/20/2022,19:00 (20:00),Bordeaux,1.2,2–2,1.2,Saint-Étienne,"38,515",Stade Matmut-Atlantique,Benoît Bastien,Match Report,,2,2,0
360,Regular season,33.0,Wed,4/20/2022,19:00 (20:00),Lorient,2.0,1–0,1.8,Metz,"13,544",Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,,1,0,1
361,Regular season,33.0,Wed,4/20/2022,19:00 (20:00),Troyes,1.5,0–1,0.3,Clermont Foot,"7,800",Stade de l'Aube,Jérémie Pignard,Match Report,,0,1,2
362,Regular season,33.0,Wed,4/20/2022,21:00 (22:00),Angers,0.8,0–3,2.1,Paris S-G,"13,000",Stade Raymond Kopa,Johan Hamel,Match Report,,0,3,2
363,Regular season,33.0,Wed,4/20/2022,21:00 (22:00),Strasbourg,2.8,2–1,1.2,Rennes,"25,148",Stade de la Meinau,Willy Delajod,Match Report,,2,1,1
364,Regular season,33.0,Wed,4/20/2022,21:00 (22:00),Lens,1.3,2–0,0.8,Montpellier,"36,250",Stade Bollaert-Delelis,Romain Lissorgue,Match Report,,2,0,1
365,Regular season,33.0,Wed,4/20/2022,21:00 (22:00),Brest,0.9,2–1,3.0,Lyon,"14,028",Stade Francis-Le Blé,Jeremy Stinat,Match Report,,2,1,1
366,Regular season,33.0,Wed,4/20/2022,21:00 (22:00),Marseille,2.0,3–2,0.6,Nantes,"55,890",Orange Vélodrome,Ruddy Buquet,Match Report,,3,2,1
368,Regular season,34.0,Sat,4/23/2022,17:00 (18:00),Lyon,4.4,5–2,2.1,Montpellier,"46,608",Groupama Stadium,François Letexier,Match Report,,5,2,1
369,Regular season,34.0,Sat,4/23/2022,19:00 (20:00),Saint-Étienne,1.1,1–4,3.1,Monaco,"30,018",Stade Geoffroy-Guichard,Bastien Dechepy,Match Report,,1,4,2
370,Regular season,34.0,Sat,4/23/2022,21:00 (22:00),Paris S-G,2.5,1–1,0.8,Lens,"47,000",Parc des Princes,Amaury Delerue,Match Report,,1,1,0
371,Regular season,34.0,Sun,4/24/2022,13:00 (14:00),Rennes,2.0,5–0,0.8,Lorient,"28,324",Roazhon Park,Benoît Millot,Match Report,,5,0,1
372,Regular season,34.0,Sun,4/24/2022,15:00 (16:00),Metz,0.6,0–1,2.0,Brest,"19,874",Stade Saint-Symphorien,Florent Batta,Match Report,,0,1,2
373,Regular season,34.0,Sun,4/24/2022,15:00 (16:00),Nantes,2.1,5–3,2.8,Bordeaux,"30,000",Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,,5,3,1
374,Regular season,34.0,Sun,4/24/2022,15:00 (16:00),Nice,2.3,1–0,0.4,Troyes,"17,065",Stade de Nice,Hakim Ben El Hadj Salem,Match Report,,1,0,1
375,Regular season,34.0,Sun,4/24/2022,15:00 (16:00),Clermont Foot,2.1,2–2,1.7,Angers,"11,531",Stade Gabriel Montpied,Stéphanie Frappart,Match Report,,2,2,0
376,Regular season,34.0,Sun,4/24/2022,17:05 (18:05),Lille,0.8,1–0,1.2,Strasbourg,"30,211",Stade Pierre-Mauroy,Jérémie Pignard,Match Report,,1,0,1
377,Regular season,34.0,Sun,4/24/2022,20:45 (21:45),Reims,0.7,0–1,0.9,Marseille,"20,835",Stade Auguste-Delaune II,Jérôme Brisard,Match Report,,0,1,2
379,Regular season,35.0,Fri,4/29/2022,21:00 (22:00),Strasbourg,1.9,3–3,3.0,Paris S-G,"26,052",Stade de la Meinau,Ruddy Buquet,Match Report,,3,3,0
380,Regular season,35.0,Sat,4/30/2022,17:00 (18:00),Lens,2.9,2–2,2.1,Nantes,"36,727",Stade Bollaert-Delelis,Thomas Léonard,Match Report,,2,2,0
381,Regular season,35.0,Sat,4/30/2022,21:00 (22:00),Rennes,1.8,2–0,0.8,Saint-Étienne,"27,390",Roazhon Park,Jeremy Stinat,Match Report,,2,0,1
382,Regular season,35.0,Sun,5/1/2022,13:00 (14:00),Troyes,2.9,3–0,0.4,Lille,"10,497",Stade de l'Aube,Willy Delajod,Match Report,,3,0,1
383,Regular season,35.0,Sun,5/1/2022,15:00 (16:00),Brest,1.7,2–0,1.5,Clermont Foot,"10,592",Stade Francis-Le Blé,Romain Lissorgue,Match Report,,2,0,1
384,Regular season,35.0,Sun,5/1/2022,15:00 (16:00),Monaco,3.2,2–0,0.7,Angers,"4,616",Stade Louis II.,Hakim Ben El Hadj Salem,Match Report,,2,0,1
385,Regular season,35.0,Sun,5/1/2022,15:00 (16:00),Montpellier,2.1,2–2,1.6,Metz,"10,446",Stade de la Mosson,Clément Turpin,Match Report,,2,2,0
386,Regular season,35.0,Sun,5/1/2022,15:00 (16:00),Lorient,2.0,1–2,2.2,Reims,"12,216",Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Match Report,,1,2,2
387,Regular season,35.0,Sun,5/1/2022,17:05 (18:05),Bordeaux,0.3,0–1,2.7,Nice,"23,552",Stade Matmut-Atlantique,Johan Hamel,Match Report,,0,1,2
388,Regular season,35.0,Sun,5/1/2022,20:45 (21:45),Marseille,1.2,0–3,2.4,Lyon,"68,784",Orange Vélodrome,Antony Gautier,Match Report,,0,3,2
390,Regular season,36.0,Fri,5/6/2022,21:00 (22:00),Lille,1.5,1–2,0.5,Monaco,"39,088",Stade Pierre-Mauroy,François Letexier,Match Report,,1,2,2
391,Regular season,36.0,Sat,5/7/2022,17:00 (18:00),Brest,0.6,0–1,3.1,Strasbourg,"12,093",Stade Francis-Le Blé,Mikael Lesage,Match Report,,0,1,2
392,Regular season,36.0,Sun,5/8/2022,13:00 (14:00),Metz,2.0,3–2,2.4,Lyon,"20,405",Stade Saint-Symphorien,Eric Wattellier,Match Report,,3,2,1
393,Regular season,36.0,Sun,5/8/2022,15:00 (16:00),Clermont Foot,2.4,2–1,1.4,Montpellier,"11,587",Stade Gabriel Montpied,Benoît Bastien,Match Report,,2,1,1
394,Regular season,36.0,Sun,5/8/2022,15:00 (16:00),Angers,2.5,4–1,0.8,Bordeaux,"10,852",Stade Raymond Kopa,Benoît Millot,Match Report,,4,1,1
395,Regular season,36.0,Sun,5/8/2022,15:00 (16:00),Reims,0.9,1–2,2.3,Lens,"16,962",Stade Auguste-Delaune II,Vitor Ferreira Fernandes,Match Report,,1,2,2
396,Regular season,36.0,Sun,5/8/2022,17:05 (18:05),Lorient,0.4,0–3,1.6,Marseille,"16,210",Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,,0,3,2
397,Regular season,36.0,Sun,5/8/2022,20:45 (21:45),Paris S-G,2.5,2–2,1.9,Troyes,"45,000",Parc des Princes,Jérôme Brisard,Match Report,,2,2,0
398,Regular season,36.0,Wed,5/11/2022,19:00 (20:00),Nice,1.4,4–2,2.4,Saint-Étienne,"17,704",Stade de Nice,Ruddy Buquet,Match Report,,4,2,1
399,Regular season,36.0,Wed,5/11/2022,21:00 (22:00),Nantes,1.3,2–1,2.1,Rennes,"26,359",Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,,2,1,1
401,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Nice,1.9,1–3,2.1,Lille,"24,232",Stade de Nice,Thomas Léonard,Match Report,,1,3,2
402,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Bordeaux,1.3,0–0,1.2,Lorient,"23,191",Stade Matmut-Atlantique,Ruddy Buquet,Match Report,,0,0,0
403,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Montpellier,0.6,0–4,2.8,Paris S-G,"19,586",Stade de la Mosson,Jeremy Stinat,Match Report,,0,4,2
404,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Rennes,1.6,2–0,0.9,Marseille,"28,811",Roazhon Park,Benoît Bastien,Match Report,,2,0,1
405,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Monaco,4.1,4–2,1.8,Brest,"6,000",Stade Louis II.,Jérôme Brisard,Match Report,,4,2,1
406,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Troyes,0.3,1–3,1.2,Lens,"19,000",Stade de l'Aube,François Letexier,Match Report,,1,3,2
407,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Strasbourg,1.2,1–0,1.1,Clermont Foot,"25,231",Stade de la Meinau,Benoît Millot,Match Report,,1,0,1
408,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Metz,0.6,1–0,0.6,Angers,"17,213",Stade Saint-Symphorien,Jérémie Pignard,Match Report,,1,0,1
409,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Lyon,2.4,3–2,2.3,Nantes,"54,404",Groupama Stadium,Florent Batta,Match Report,,3,2,1
410,Regular season,37.0,Sat,5/14/2022,21:00 (22:00),Saint-Étienne,1.7,1–2,2.5,Reims,,Stade Geoffroy-Guichard,Clément Turpin,Match Report,,1,2,2
412,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Lille,1.9,2–2,1.4,Rennes,"40,116",Stade Pierre-Mauroy,Amaury Delerue,Match Report,,2,2,0
413,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Brest,1.1,2–4,3.4,Bordeaux,"14,484",Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Match Report,,2,4,2
414,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Nantes,2.3,1–1,1.6,Saint-Étienne,"28,636",Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,,1,1,0
415,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Clermont Foot,2.5,1–2,2.9,Lyon,"12,000",Stade Gabriel Montpied,Mikael Lesage,Match Report,,1,2,2
416,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Angers,2.6,2–0,1.3,Montpellier,"11,249",Stade Raymond Kopa,Romain Lissorgue,Match Report,,2,0,1
417,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Lorient,1.6,1–1,0.7,Troyes,"15,131",Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,,1,1,0
418,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Paris S-G,5.4,5–0,0.8,Metz,"45,000",Parc des Princes,Antony Gautier,Match Report,,5,0,1
419,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Reims,0.9,2–3,2.3,Nice,"12,589",Stade Auguste-Delaune II,Eric Wattellier,Match Report,,2,3,2
420,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Marseille,2.3,4–0,1.2,Strasbourg,"63,873",Orange Vélodrome,Stéphanie Frappart,Match Report,,4,0,1
421,Regular season,38.0,Sat,5/21/2022,21:00 (22:00),Lens,2.1,2–2,1.5,Monaco,"37,764",Stade Bollaert-Delelis,Benoît Bastien,Match Report,,2,2,0
423,French 1/2 Relegation/Promotion Playoff,,Thu,5/26/2022,19:00 (20:00),Auxerre,,1–1,,Saint-Étienne,"17,479",Stade de l'Abbé Deschamps,,Match Report,Leg 1 of 2,1,1,0
424,French 1/2 Relegation/Promotion Playoff,,Sun,5/29/2022,19:00 (20:00),Saint-Étienne,,(4) 1–1 (5),,Auxerre,"24,489",Stade Geoffroy-Guichard,,Match Report,Leg 2 of 2; Auxerre won; Auxerre won on penalty kicks following extra time,(4) 1,1 (5),2
