,Team Result Indicator
0,0
1,1
2,2
3,2
4,0
5,1
6,0
7,0
8,0
9,2
10,0
11,2
12,2
13,0
14,0
15,2
16,2
17,2
18,1
19,0
20,0
21,1
22,0
23,2
24,0
25,2
26,2
27,1
28,2
29,2
30,0
31,2
32,2
33,0
34,1
35,1
36,1
37,0
38,0
39,1
40,2
41,2
42,0
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,2
51,2
52,1
53,0
54,2
55,0
56,0
57,0
58,1
59,0
60,2
61,0
62,2
63,1
64,1
65,0
66,1
67,2
68,0
69,2
70,2
71,2
72,0
73,1
74,0
75,2
76,0
77,0
78,0
79,2
80,1
81,2
82,2
83,2
84,0
85,2
86,2
87,1
88,2
89,2
90,2
91,0
92,0
93,0
94,2
95,0
96,1
97,1
98,0
99,2
100,0
101,1
102,0
103,2
104,0
105,0
106,1
107,2
108,2
109,0
110,0
111,2
112,2
113,1
114,2
115,2
116,2
117,2
118,0
119,1
120,1
121,1
122,0
123,2
124,1
125,2
126,0
127,0
128,1
129,1
130,2
131,0
132,1
133,0
134,2
135,0
136,0
137,1
138,0
139,2
140,0
141,1
142,2
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,2
151,0
152,1
153,0
154,0
155,2
156,0
157,0
158,0
159,1
160,0
161,2
162,2
163,0
164,0
165,2
166,2
167,1
168,0
169,2
170,1
171,1
172,0
173,1
174,2
175,1
176,2
177,0
178,0
179,0
180,0
181,1
182,2
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,2
196,0
197,1
198,1
199,2
200,0
201,0
202,1
203,2
204,0
205,1
206,0
207,2
208,0
209,2
210,2
211,0
212,0
213,0
214,0
215,2
216,0
217,2
218,0
219,0
220,1
221,2
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,2
230,1
231,1
232,2
233,2
234,0
235,1
236,0
237,0
238,2
239,0
240,0
241,2
242,0
243,1
244,1
245,2
246,0
247,0
248,0
249,2
250,0
251,1
252,0
253,0
254,1
255,0
256,0
257,2
258,1
259,0
260,2
261,2
262,1
263,0
264,1
265,2
266,2
267,2
268,0
269,2
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,2
278,2
279,1
280,0
281,0
282,0
283,0
284,2
285,0
286,2
287,0
288,2
289,0
290,0
291,0
292,0
293,2
294,0
295,0
296,2
297,0
298,2
299,0
300,1
301,0
302,0
303,0
304,2
305,0
306,0
307,0
308,2
309,1
310,1
311,1
312,0
313,0
314,2
315,1
316,0
317,0
318,2
319,1
320,0
321,1
322,1
323,0
324,0
325,2
326,2
327,2
328,0
329,0
330,0
331,0
332,1
333,2
334,2
335,0
336,1
337,0
338,2
339,2
340,0
341,0
342,0
343,2
344,1
345,2
346,1
347,1
348,2
349,0
350,0
351,0
352,2
353,0
354,1
355,2
356,0
357,0
358,0
359,2
360,2
361,0
362,0
363,1
364,2
365,1
366,2
367,0
368,1
369,0
370,2
371,2
372,1
373,1
374,1
375,2
376,2
377,2
378,1
379,2
380,0
381,1
382,1
383,0
384,2
385,2
386,2
387,2
388,1
389,2
390,2
391,0
392,0
393,2
394,1
395,0
396,1
397,1
398,0
399,2
400,1
401,1
402,0
403,2
404,1
405,1
406,2
407,0
408,1
409,1
410,1
411,2
412,1
413,1
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,0
422,1
423,2
424,0
425,0
426,2
427,0
428,0
429,0
430,0
431,2
432,0
433,1
434,0
435,0
436,2
437,1
438,2
439,2
440,0
441,0
442,1
443,2
444,1
445,0
446,0
447,1
448,0
449,2
450,2
451,0
452,1
453,2
454,0
455,2
456,0
457,2
458,2
459,0
460,1
461,2
462,0
463,2
464,0
465,2
466,0
467,2
468,0
469,0
470,2
471,2
472,2
473,1
474,1
475,2
476,2
477,1
478,0
479,2
480,2
481,1
482,2
483,1
484,0
485,0
486,2
487,2
488,2
489,0
490,1
491,2
492,2
493,2
494,2
495,1
496,0
497,2
498,0
499,1
500,2
501,2
502,1
503,1
504,2
505,2
506,2
507,2
508,1
509,2
510,0
511,2
512,1
513,2
514,1
515,0
516,2
517,2
518,0
519,2
520,1
521,2
522,0
523,0
524,0
525,0
526,1
527,2
528,2
529,1
530,2
531,0
532,2
533,1
534,1
535,2
536,2
537,2
538,0
539,0
540,2
541,1
542,0
543,2
544,2
545,1
546,2
547,2
548,0
549,1
550,0
551,0
552,1
553,2
554,0
555,0
556,2
557,0
558,2
559,2
560,2
561,0
562,1
563,0
564,1
565,1
566,1
567,0
568,2
569,0
570,2
571,0
572,2
573,1
574,2
575,1
576,0
577,1
578,0
579,2
580,2
581,0
582,2
583,0
584,2
585,0
586,2
587,2
588,0
589,1
590,2
591,1
592,0
593,2
594,0
595,0
596,0
597,0
598,0
599,2
600,2
601,2
602,1
603,2
604,0
605,0
606,2
607,2
608,0
609,0
610,2
611,2
612,2
613,2
614,2
615,0
616,2
617,1
618,0
619,0
620,2
621,0
622,2
623,0
624,0
625,0
626,0
627,0
628,0
629,2
630,2
631,0
632,0
633,2
634,2
635,2
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,2
647,1
648,2
649,2
650,0
651,1
652,1
653,2
654,1
655,0
656,2
657,1
658,2
659,2
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,2
668,0
669,2
670,2
671,2
672,1
673,1
674,0
675,0
676,0
677,0
678,2
679,1
680,2
681,2
682,1
683,0
684,0
685,1
686,1
687,1
688,0
689,1
690,0
691,1
692,1
693,2
694,2
695,1
696,2
697,2
698,2
699,2
700,0
701,1
702,2
703,2
704,0
705,2
706,0
707,1
708,0
709,1
710,2
711,1
712,0
713,2
714,2
715,1
716,2
717,0
718,0
719,2
720,2
721,0
722,0
723,2
724,1
725,1
726,0
727,1
728,1
729,0
730,2
731,0
732,2
733,1
734,2
735,2
736,2
737,1
738,0
739,0
740,0
741,0
742,2
743,0
744,1
745,0
746,1
747,2
748,2
749,2
750,2
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,2
762,2
763,2
764,1
765,2
766,2
767,1
768,2
769,2
770,0
771,0
772,2
773,2
774,0
775,1
776,0
777,2
778,2
779,2
780,0
781,0
782,0
783,2
784,2
785,1
786,0
787,2
788,1
789,1
790,2
791,2
792,1
793,1
794,2
795,0
796,2
797,2
798,1
799,2
800,0
801,1
802,2
803,2
804,0
805,2
806,0
807,1
808,0
809,0
810,0
811,2
812,2
813,2
814,1
815,0
816,0
817,0
818,2
819,0
820,1
821,0
822,2
823,2
824,1
825,0
826,0
827,0
828,2
829,0
830,0
831,2
832,1
833,1
834,0
835,2
836,2
837,1
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,2
846,0
847,2
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,2
857,2
858,0
859,2
860,0
861,2
862,1
863,2
864,0
865,2
866,1
867,1
868,2
869,2
870,2
871,2
872,0
873,2
874,0
875,0
876,0
877,2
878,0
879,2
880,1
881,0
882,0
883,2
884,0
885,1
886,1
887,2
888,0
889,1
890,0
891,2
892,0
893,2
894,2
895,2
896,2
897,2
898,2
899,0
900,2
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,2
909,0
910,0
911,2
912,2
913,0
914,0
915,2
916,0
917,0
918,0
919,2
920,1
921,0
922,1
923,2
924,0
925,0
926,1
927,0
928,1
929,0
930,0
931,0
932,0
933,0
934,2
935,0
936,0
937,1
938,0
939,0
940,0
941,2
942,0
943,2
944,0
945,2
946,0
947,2
948,0
949,0
950,1
951,2
952,2
953,1
954,1
955,0
956,0
957,1
958,1
959,0
960,0
961,0
962,2
963,0
964,0
965,2
966,0
967,2
968,0
969,2
970,0
971,2
972,0
973,0
974,0
975,0
976,1
977,0
978,0
979,1
980,2
981,2
982,1
983,2
984,1
985,1
986,0
987,0
988,2
989,2
990,1
991,1
992,2
993,0
994,0
995,2
996,0
997,2
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,2
1012,0
1013,2
1014,1
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,2
1024,0
1025,2
1026,1
1027,2
1028,2
1029,2
1030,2
1031,1
1032,2
1033,0
1034,2
1035,0
1036,0
1037,1
1038,1
1039,2
1040,0
1041,1
1042,2
1043,1
1044,1
1045,2
1046,0
1047,1
1048,0
1049,0
1050,2
1051,1
1052,2
1053,1
1054,2
1055,0
1056,0
1057,2
1058,2
1059,1
1060,2
1061,0
1062,1
1063,0
1064,0
1065,2
1066,1
1067,1
1068,2
1069,2
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,2
1077,0
1078,0
1079,0
1080,0
1081,2
1082,1
1083,2
1084,1
1085,2
1086,1
1087,1
1088,2
1089,0
1090,1
1091,1
1092,2
1093,0
1094,0
1095,0
1096,0
1097,2
1098,0
1099,1
1100,2
1101,2
1102,2
1103,0
1104,1
1105,2
1106,0
1107,2
1108,0
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,2
1116,0
1117,0
